x	y
79.0	184
82.5	180
84.0	172
83.0	161
79.5	149
74.5	138
68.5	131
62.5	127
57.5	128
54.0	133
53.0	141
54.5	152
58.0	163
63.0	172
69.5	178
76.5	179
81.5	175
85.0	167
86.5	155
86.0	140
82.5	124
77.5	110
71.5	99
66.0	92
61.0	90
57.5	93
56.5	99
58.5	108
62.0	119
67.0	127
73.5	133
81.0	134
86.0	131
89.5	123
91.0	113
90.5	100
87.0	86
82.0	75
76.0	67
71.0	64
66.0	65
62.5	72
61.5	82
64.0	95
67.5	110
72.5	123
79.0	133
86.5	138
91.5	140
95.0	136
96.5	130
96.5	121
93.0	111
88.0	103
82.0	99
77.5	99
72.5	103
69.0	112
68.0	124
70.5	139
74.0	154
79.0	168
85.5	178
93.0	183
98.0	184
101.5	180
103.0	172
103.0	161
99.5	149
94.5	138
88.5	131
83.5	127
78.5	128
75.0	133
74.0	141
76.5	152
80.0	163
85.0	172
91.5	178
98.5	179
103.5	175
107.0	167
108.5	155
108.5	140
105.0	124
100.0	110
94.0	99
88.5	92
83.5	90
80.0	93
79.0	99
81.0	108
84.5	119
89.5	127
96.0	133
103.0	134
108.0	131
111.5	123
113.0	113
112.5	100
109.0	86
104.0	75
98.0	67
92.0	64
87.0	65
83.5	72
82.5	82
84.0	95
87.5	110
92.5	123
99.0	133
105.5	138
110.5	140
114.0	136
115.5	130
114.0	121
110.5	111
105.5	103
99.5	99
93.5	99
88.5	103
85.0	112
84.0	124
84.5	139
88.0	154
93.0	168
99.5	178
105.5	183
110.5	184
114.0	180
115.5	172
113.5	161
110.0	149
105.0	138
99.0	131
92.0	127
87.0	128
83.5	133
82.5	141
83.0	152
86.5	163
91.5	172
98.0	178
103.0	179
108.0	175
111.5	167
113.0	155
110.5	140
107.0	124
102.0	110
96.0	99
88.5	92
83.5	90
80.0	93
79.0	99
79.0	108
82.5	119
87.5	127
94.0	133
98.5	134
103.5	131
107.0	123
108.5	113
106.0	100
102.5	86
97.5	75
91.5	67
83.5	64
78.5	65
75.0	72
74.0	82
73.5	95
77.0	110
82.0	123
88.5	133
93.0	138
98.0	140
101.5	136
103.0	130
100.0	121
96.5	111
91.5	103
85.5	99
77.5	99
72.5	103
69.0	112
68.0	124
67.0	139
70.5	154
75.5	168
82.0	178
86.5	183
