x	y
89.0	70
85.5	74
83.5	82
82.5	93
83.0	105
84.5	116
87.5	124
90.5	127
95.0	126
99.0	121
103.5	113
106.0	102
109.0	91
109.5	82
109.5	76
107.0	75
104.5	79
100.0	87
96.0	99
90.0	114
85.0	130
79.5	144
76.0	156
72.0	162
71.0	164
69.5	161
71.0	155
72.5	146
76.0	135
78.5	127
83.5	121
86.5	120
90.5	123
92.0	131
94.0	141
93.5	154
92.5	168
89.0	179
86.0	188
81.0	190
76.5	189
70.0	182
65.5	172
61.0	159
58.0	144
55.5	131
55.5	121
55.5	116
58.0	114
60.5	118
64.5	124
69.0	133
73.5	143
77.0	151
80.5	156
82.5	155
83.5	151
83.5	142
82.0	130
79.0	115
75.5	100
71.0	86
66.0	76
61.5	71
57.5	70
55.0	74
53.0	82
53.0	93
53.5	105
56.0	116
59.0	124
64.0	127
68.5	126
74.5	121
79.0	113
83.5	102
86.5	91
89.0	82
89.0	76
89.5	75
87.0	79
84.5	87
80.5	99
77.5	114
72.5	130
70.0	144
66.5	156
65.5	162
64.5	164
66.0	161
67.5	155
72.5	146
76.0	135
82.0	127
87.0	121
93.0	120
97.0	123
101.5	131
103.5	141
106.0	154
105.0	168
104.5	179
101.5	188
98.5	190
94.0	189
90.5	182
86.0	172
83.5	159
80.5	144
80.0	131
80.0	121
82.0	116
84.5	114
89.0	118
93.0	124
98.5	133
103.0	143
107.5	151
111.0	156
114.0	155
115.0	151
115.0	142
113.5	130
111.0	115
107.5	100
102.5	86
97.5	76
93.0	71
89.0	70
85.5	74
83.5	82
82.5	93
83.0	105
84.5	116
87.5	124
90.5	127
95.0	126
99.0	121
103.5	113
106.0	102
109.0	91
109.5	82
109.5	76
107.0	75
104.5	79
100.0	87
96.0	99
90.0	114
85.0	130
79.5	144
76.0	156
72.0	162
71.0	164
69.5	161
71.0	155
72.5	146
76.0	135
78.5	127
83.5	121
86.5	120
90.5	123
92.0	131
94.0	141
93.5	154
92.5	168
89.0	179
86.0	188
81.0	190
76.5	189
70.0	182
65.5	172
61.0	159
58.0	144
55.5	131
55.5	121
55.5	116
58.0	114
60.5	118
64.5	124
69.0	133
73.5	143
77.0	151
80.5	156
82.5	155
83.5	151
83.5	142
82.0	130
79.0	115
75.5	100
71.0	86
66.0	76
61.5	71
