x	y
79.0	138
82.5	138
84.0	138
83.0	138
79.5	136
75.0	136
69.0	135
63.0	135
58.0	135
55.5	132
54.5	132
56.5	132
60.0	131
66.0	131
72.5	129
79.5	127
84.5	127
89.5	127
91.0	125
90.5	123
87.0	123
83.5	121
77.5	121
72.5	121
67.5	118
65.5	118
64.5	118
67.0	115
70.5	115
77.5	114
84.0	112
91.5	112
96.5	112
101.5	109
103.0	108
103.0	108
99.5	105
96.0	105
90.0	105
85.0	102
80.0	102
77.5	102
76.5	99
79.0	99
82.5	99
88.5	96
95.0	96
102.0	96
107.0	92
111.5	92
113.0	92
112.5	89
109.0	89
104.5	89
98.5	86
92.5	86
87.5	86
84.5	83
83.5	83
84.5	84
88.0	81
93.5	81
100.0	81
105.5	79
110.5	80
114.0	80
115.5	77
113.5	77
110.0	77
104.5	76
98.5	76
91.5	76
86.5	74
82.0	74
81.0	76
81.0	74
84.5	74
88.5	74
95.0	72
100.0	74
105.0	74
107.0	73
108.5	73
106.0	73
102.5	74
96.0	74
90.0	74
82.0	73
77.0	73
72.0	75
71.0	75
70.5	75
74.0	75
77.5	75
84.0	78
88.0	78
93.0	78
95.0	78
96.5	78
93.5	80
90.0	80
83.5	80
77.5	81
69.5	81
64.5	84
60.0	85
59.0	85
58.5	85
62.0	86
66.0	89
72.5	89
77.5	91
82.5	91
85.0	91
86.5	96
84.0	96
80.5	96
75.0	98
69.0	98
62.0	101
57.0	103
53.0	103
52.0	103
53.0	106
56.5	110
61.5	110
68.0	112
74.0	112
79.0	112
82.5	118
84.0	118
83.0	118
79.5	121
75.0	121
69.0	124
63.0	127
58.0	127
55.5	127
54.5	130
56.5	133
60.0	133
66.0	137
72.5	137
79.5	137
84.5	143
89.5	143
91.0	143
90.5	146
87.0	146
83.5	149
77.5	152
72.5	152
67.5	152
65.5	155
64.5	157
67.0	157
70.5	160
77.5	160
84.0	160
91.5	165
96.5	165
101.5	165
103.0	168
103.0	168
99.5	170
96.0	172
90.0	172
85.0	172
80.0	174
77.5	176
76.5	176
79.0	178
82.5	178
88.5	178
95.0	182
102.0	182
107.0	182
111.5	183
113.0	183
112.5	185
109.0	186
104.5	186
98.5	186
92.5	187
87.5	188
84.5	188
83.5	188
84.5	188
88.0	188
93.5	190
100.0	190
105.5	190
