x	y
78.0	179
81.5	181
84.0	181
85.5	183
85.5	183
84.5	185
82.5	184
79.5	186
76.5	186
72.5	186
69.5	186
67.5	187
66.0	186
66.0	187
68.0	187
70.5	185
74.5	185
79.5	186
85.0	184
91.5	183
97.0	183
102.5	181
107.0	181
110.5	180
112.5	178
113.5	177
112.5	177
110.0	173
107.0	173
102.5	171
98.0	169
93.0	167
89.0	167
85.5	162
83.0	162
82.0	160
81.5	157
82.5	154
84.5	154
87.5	149
90.5	149
94.5	146
97.5	143
99.5	140
101.0	140
101.0	134
99.5	134
96.5	131
92.5	127
87.5	124
82.0	124
76.0	117
70.0	117
64.5	114
60.0	111
56.5	108
54.5	108
53.5	102
54.5	102
57.0	99
60.0	96
64.5	94
69.5	94
74.0	89
78.0	89
81.5	87
84.0	84
85.5	82
85.5	82
84.5	78
82.5	78
79.5	76
76.5	74
72.5	73
69.5	73
67.5	70
66.0	70
66.0	69
68.0	67
70.5	67
74.5	67
79.5	66
85.0	66
91.5	66
97.0	65
102.5	65
107.0	65
110.5	65
112.5	65
113.5	66
112.5	66
110.0	67
107.0	67
102.5	69
98.0	69
93.0	71
89.0	71
85.5	73
83.0	73
82.0	75
81.5	75
82.5	78
84.5	79
87.5	81
90.5	81
94.5	85
97.5	85
99.5	88
101.0	89
101.0	92
99.5	92
96.5	97
92.5	97
87.5	101
82.0	103
76.0	106
70.0	106
64.5	111
60.0	111
56.5	114
54.5	116
53.5	119
54.5	119
57.0	125
60.0	125
64.5	127
69.5	129
74.0	132
78.0	132
81.5	137
84.0	137
85.5	139
85.5	142
84.5	144
82.5	144
79.5	149
76.5	149
72.5	150
69.5	153
67.5	154
66.0	154
66.0	159
68.0	159
70.5	159
74.5	162
79.5	163
85.0	163
91.5	165
97.0	165
102.5	165
107.0	168
110.5	167
112.5	167
113.5	169
112.5	169
110.0	168
107.0	171
102.5	169
98.0	169
93.0	169
89.0	169
85.5	167
83.0	170
82.0	168
81.5	168
82.5	167
84.5	167
87.5	165
90.5	167
94.5	164
97.5	164
99.5	163
101.0	163
101.0	160
99.5	162
96.5	159
92.5	159
87.5	157
82.0	157
76.0	153
70.0	154
64.5	151
60.0	151
56.5	149
54.5	149
53.5	146
54.5	146
57.0	143
60.0	143
64.5	142
69.5	142
74.0	139
