x	y
57.5	185
54.5	187
53.0	188
52.5	189
53.0	189
55.5	189
58.5	189
62.5	188
67.5	187
72.5	186
77.0	183
81.5	182
84.5	178
86.0	176
87.0	172
86.0	170
83.5	165
81.0	163
77.0	157
72.5	154
68.5	149
64.5	146
61.0	140
60.0	136
59.0	130
59.0	127
61.5	121
64.5	118
68.0	113
74.0	110
79.0	105
83.5	103
89.0	97
92.0	95
94.0	91
96.5	90
95.5	86
93.5	86
92.0	83
88.0	83
83.5	80
80.5	81
76.0	80
72.5	81
71.0	80
69.5	82
69.5	82
72.0	84
74.5	85
78.0	87
83.5	88
88.5	91
93.0	92
98.5	95
102.0	98
104.5	101
107.0	103
107.0	106
105.5	108
103.5	111
100.0	113
95.5	116
92.0	118
87.5	120
83.5	122
81.5	124
79.5	125
79.0	126
80.5	128
82.5	128
85.5	130
90.5	129
95.0	130
100.0	129
105.5	130
109.0	129
112.0	129
114.0	127
114.0	127
113.0	125
111.0	124
107.5	122
103.5	122
99.5	119
94.5	118
90.5	115
87.0	115
84.5	111
83.5	111
84.0	108
85.5	108
88.5	105
91.5	106
96.0	103
101.0	105
105.5	103
109.5	104
112.5	102
114.0	104
115.0	103
114.0	105
111.5	105
108.5	108
104.5	108
99.5	111
94.5	112
90.0	115
85.5	116
82.5	121
81.0	123
80.0	127
81.0	129
83.5	134
86.0	136
90.0	141
95.0	144
98.5	149
102.5	152
106.0	157
107.0	160
108.0	164
108.0	167
105.5	171
102.5	174
99.0	176
93.0	179
88.0	182
83.5	184
78.0	185
75.0	187
73.0	188
71.0	189
71.5	189
73.5	189
75.0	189
79.0	188
83.5	187
87.0	186
91.5	183
95.0	182
96.0	178
97.5	176
97.5	172
95.0	170
92.5	165
89.0	163
83.5	157
79.0	154
74.0	149
68.5	146
65.0	140
62.5	136
60.0	130
60.0	127
61.5	121
63.5	118
67.0	113
71.5	110
75.0	105
79.5	103
83.5	97
85.5	95
87.5	91
88.5	90
86.5	86
84.5	86
81.5	83
76.5	83
72.0	80
67.0	81
61.5	80
58.0	81
55.0	80
53.0	82
53.0	82
54.0	84
56.0	85
59.5	87
63.5	88
68.0	91
72.5	92
76.5	95
80.0	98
82.5	101
83.5	103
83.5	106
82.0	108
79.0	111
75.5	113
71.0	116
66.0	118
61.5	120
