x	y
82.5	70
82.5	74
83.5	82
83.5	93
85.0	105
85.0	116
86.0	124
87.0	127
88.0	126
88.0	121
89.0	113
89.0	102
90.0	91
90.0	82
90.5	76
92.0	75
92.5	79
92.5	87
93.0	99
93.0	114
93.0	130
93.0	144
93.5	156
95.0	162
94.5	164
94.5	161
94.5	155
94.5	146
94.0	135
94.0	127
93.5	121
95.0	120
94.5	123
94.5	131
93.5	141
93.5	154
92.5	168
92.5	179
91.5	188
93.0	190
92.0	189
92.0	182
90.5	172
90.5	159
89.5	144
89.5	131
88.0	121
90.0	116
88.5	114
88.5	118
87.0	124
87.0	133
85.5	143
85.5	151
84.0	156
85.5	155
83.5	151
83.5	142
82.0	130
82.0	115
80.5	100
80.5	86
79.0	76
80.5	71
79.0	70
79.0	74
78.0	82
78.0	93
76.5	105
76.5	116
75.5	124
77.0	127
76.0	126
76.0	121
75.0	113
75.0	102
74.0	91
74.0	82
73.5	76
75.0	75
74.5	79
74.5	87
74.0	99
74.0	114
74.0	130
74.0	144
74.0	156
75.5	162
75.5	164
75.5	161
75.5	155
75.5	146
76.0	135
76.0	127
76.5	121
77.5	120
78.0	123
78.0	131
79.0	141
79.0	154
80.0	168
80.0	179
81.0	188
82.5	190
83.5	189
83.5	182
85.0	172
85.0	159
86.0	144
86.0	131
87.5	121
88.5	116
90.0	114
90.0	118
91.5	124
91.5	133
93.0	143
93.0	151
95.0	156
96.0	155
97.5	151
97.5	142
99.0	130
99.0	115
100.5	100
100.5	86
102.0	76
103.0	71
104.5	70
104.5	74
105.5	82
105.5	93
107.0	105
107.0	116
108.0	124
109.0	127
110.0	126
110.0	121
111.0	113
111.0	102
112.0	91
112.0	82
112.5	76
113.0	75
113.5	79
113.5	87
114.0	99
114.0	114
114.0	130
114.0	144
114.5	156
115.0	162
114.5	164
114.5	161
114.5	155
114.5	146
114.0	135
114.0	127
113.5	121
114.0	120
113.5	123
113.5	131
112.5	141
112.5	154
111.5	168
111.5	179
110.5	188
110.5	190
109.5	189
109.5	182
108.0	172
108.0	159
107.0	144
107.0	131
105.5	121
106.0	116
104.5	114
104.5	118
103.0	124
103.0	133
101.5	143
101.5	151
100.0	156
99.5	155
97.5	151
97.5	142
96.0	130
96.0	115
94.5	100
94.5	86
93.0	76
93.0	71
