x	y
60.0	74
60.0	76
59.5	80
60.0	86
59.0	94
60.0	103
60.0	111
61.0	118
61.0	124
62.5	127
62.5	127
64.0	126
64.5	122
66.0	116
67.0	110
69.0	103
70.0	95
71.5	89
72.5	85
74.0	82
75.5	83
76.5	86
78.0	92
79.0	101
80.0	112
81.0	124
82.0	137
82.5	149
83.5	160
84.0	169
84.5	175
85.0	180
85.0	180
85.0	178
85.5	174
85.0	168
85.5	160
84.5	151
84.5	143
83.5	136
83.5	131
82.0	127
82.5	127
81.0	128
80.5	132
79.0	138
79.0	144
77.5	152
77.0	159
75.5	165
75.5	169
74.0	172
74.0	171
73.0	168
73.5	162
72.5	153
73.0	143
72.0	130
72.5	117
72.0	105
73.0	94
72.5	85
74.0	79
74.0	75
75.5	74
75.5	76
77.0	80
77.5	86
79.5	94
80.5	103
82.5	111
83.5	118
85.5	124
87.0	127
89.0	127
90.5	126
93.0	122
94.5	116
96.5	110
98.5	103
100.5	95
102.0	89
104.0	85
105.5	82
107.0	83
108.0	86
110.0	92
111.0	101
111.5	112
112.5	124
113.5	137
114.0	149
114.0	160
114.5	169
114.0	175
114.5	180
113.5	180
113.5	178
112.0	174
111.5	168
110.0	160
109.0	151
107.0	143
106.0	136
104.0	131
102.5	127
100.0	127
98.5	128
96.0	132
94.5	138
91.5	144
90.0	152
86.5	159
85.0	165
82.0	169
80.5	172
77.5	171
76.5	168
73.5	162
72.5	153
69.5	143
68.5	130
66.0	117
65.5	105
63.5	94
63.0	85
61.5	79
61.5	75
60.0	74
60.0	76
59.5	80
60.0	86
59.0	94
60.0	103
60.0	111
61.0	118
61.0	124
62.5	127
62.5	127
64.0	126
64.5	122
66.0	116
67.0	110
69.0	103
70.0	95
71.5	89
72.5	85
74.0	82
75.5	83
76.5	86
78.0	92
79.0	101
80.0	112
81.0	124
82.0	137
82.5	149
83.5	160
84.0	169
84.5	175
85.0	180
85.0	180
85.0	178
85.5	174
85.0	168
85.5	160
84.5	151
84.5	143
83.5	136
83.5	131
82.0	127
82.5	127
81.0	128
80.5	132
79.0	138
79.0	144
77.5	152
77.0	159
75.5	165
75.5	169
74.0	172
74.0	171
73.0	168
73.5	162
72.5	153
73.0	143
72.0	130
72.5	117
72.0	105
73.0	94
72.5	85
74.0	79
74.0	75
