x	y
56.5	80
53.0	89
52.0	102
53.0	118
57.0	133
62.0	146
68.5	157
74.5	163
79.5	163
83.5	159
85.0	152
83.5	143
80.0	132
75.0	125
69.5	120
63.0	120
58.0	124
54.5	133
53.5	144
55.5	158
59.0	171
64.0	181
70.5	189
76.5	191
82.5	188
86.0	180
87.5	169
86.0	156
82.5	141
78.5	129
72.5	120
66.0	116
61.0	115
57.5	120
57.5	127
58.5	137
62.0	146
67.0	153
73.5	157
81.0	156
86.0	150
89.5	140
91.0	127
89.5	112
87.0	97
82.0	84
76.0	75
69.5	71
64.5	71
62.5	76
61.5	85
62.5	97
66.0	108
71.0	118
79.0	125
85.0	128
90.0	125
93.5	119
95.0	110
95.0	99
91.5	88
86.5	80
80.5	75
74.0	75
70.5	80
67.0	89
66.0	102
67.0	118
70.5	133
77.5	146
84.0	157
90.0	163
95.0	163
98.5	159
101.5	152
100.0	143
96.5	132
91.5	125
85.5	120
80.5	120
75.5	124
72.0	133
71.0	144
72.0	158
77.0	171
82.0	181
88.5	189
94.5	191
99.5	188
104.5	180
106.0	169
104.5	156
101.0	141
96.0	129
91.5	120
85.0	116
80.0	115
76.5	120
75.5	127
77.5	137
81.0	146
86.0	153
92.5	157
98.5	156
105.0	150
108.5	140
110.0	127
108.5	112
105.0	97
101.0	84
95.0	75
88.5	71
83.5	71
80.0	76
80.0	85
81.0	97
84.5	108
89.5	118
96.0	125
103.0	128
108.0	125
111.5	119
113.0	110
111.5	99
109.0	88
104.0	80
98.0	75
91.5	75
86.5	80
83.5	89
82.5	102
83.5	118
87.0	133
92.0	146
99.0	157
105.0	163
110.0	163
113.5	159
115.0	152
114.0	143
110.5	132
105.5	125
99.5	120
93.0	120
88.0	124
84.5	133
83.5	144
84.5	158
88.0	171
93.5	181
100.0	189
106.0	191
111.0	188
114.5	180
115.5	169
114.0	156
110.5	141
105.5	129
99.5	120
93.0	116
88.0	115
84.5	120
83.5	127
84.5	137
87.5	146
92.5	153
99.0	157
105.0	156
110.0	150
113.0	140
114.5	127
113.0	112
109.5	97
104.5	84
98.0	75
91.5	71
86.5	71
83.0	76
82.0	85
82.0	97
85.5	108
90.5	118
97.0	125
103.0	128
107.0	125
110.5	119
112.0	110
110.5	99
107.0	88
101.0	80
95.0	75
88.5	75
