x	y
86.0	75
82.5	75
80.5	75
77.5	75
76.5	78
75.5	78
75.5	79
75.0	79
76.5	79
77.0	82
79.5	82
80.5	82
83.5	83
85.5	83
88.5	86
90.0	88
92.5	88
93.0	88
95.0	90
95.0	93
96.0	93
95.0	95
94.5	95
92.0	95
90.5	100
87.0	100
84.5	100
81.0	103
78.0	103
73.5	106
70.0	108
66.0	108
63.5	108
60.0	111
58.0	115
55.5	115
54.5	118
53.5	118
53.5	118
54.0	124
55.5	124
57.0	124
59.5	127
61.5	127
64.5	130
68.0	134
71.0	134
74.0	134
76.5	137
79.0	140
81.0	140
82.5	143
83.5	143
84.5	143
84.0	149
83.5	149
82.0	149
80.5	152
78.0	152
76.5	155
73.5	158
71.5	158
68.0	158
66.0	160
63.5	162
62.0	162
60.0	165
60.0	165
59.0	165
60.0	170
60.0	170
62.5	170
64.0	172
67.5	172
70.0	174
74.0	176
77.0	176
82.0	176
85.0	178
90.0	180
92.5	180
96.5	181
98.5	181
101.5	181
102.5	184
104.5	184
104.0	184
104.5	185
103.0	185
102.5	187
100.0	187
98.5	187
95.5	187
94.0	188
90.5	189
88.5	189
86.0	188
84.5	188
82.5	188
82.0	189
81.0	189
82.0	189
82.0	188
83.5	188
85.0	189
87.5	188
90.0	188
93.0	188
96.0	187
99.5	187
102.5	187
106.0	185
108.5	185
110.5	185
112.5	184
114.0	184
115.0	184
115.0	182
114.5	182
113.0	181
111.5	179
109.0	179
106.5	179
103.0	176
100.0	176
96.0	176
92.5	174
88.5	174
86.0	174
82.5	170
80.5	170
77.5	170
76.5	167
75.5	167
75.5	166
75.0	163
76.5	163
77.0	163
79.5	160
80.5	159
83.5	159
85.5	156
88.5	156
90.0	156
92.5	150
93.0	150
95.0	150
95.0	147
96.0	147
95.0	145
94.5	142
92.0	142
90.5	142
87.0	139
84.5	137
81.0	137
78.0	134
73.5	134
70.0	134
66.0	130
63.5	130
60.0	130
58.0	127
55.5	127
54.5	124
53.5	122
53.5	122
54.0	122
55.5	120
57.0	118
59.5	118
61.5	116
64.5	116
68.0	116
71.0	111
74.0	111
76.5	111
79.0	110
81.0	110
82.5	107
83.5	106
84.5	106
84.0	106
83.5	105
82.0	102
80.5	102
78.0	102
76.5	102
73.5	102
71.5	99
68.0	99
66.0	99
