x	y
78.0	118
81.0	120
83.0	122
84.0	124
83.0	126
81.5	127
78.5	129
74.5	129
70.5	131
65.5	130
61.0	132
58.0	131
55.0	132
53.5	131
54.5	131
55.5	129
58.0	129
62.5	127
66.5	127
71.5	125
77.0	124
81.0	121
84.5	121
88.0	118
89.0	118
89.0	114
89.0	114
86.0	111
82.5	111
79.0	108
74.0	110
69.5	107
67.0	108
64.0	106
62.0	107
63.0	105
63.5	107
65.5	106
70.0	108
74.0	108
78.5	111
85.0	111
89.5	113
93.0	114
98.0	118
99.5	119
99.5	123
100.0	125
97.5	129
94.0	131
91.5	136
87.0	138
82.0	143
79.5	146
76.0	150
73.5	153
74.0	158
74.0	161
75.5	165
80.0	168
83.5	171
88.0	174
94.0	177
98.5	180
102.5	181
107.0	183
109.0	185
110.0	187
110.0	187
108.0	188
105.0	188
102.0	188
97.5	188
92.5	187
89.0	185
85.5	184
82.5	181
82.0	180
82.0	176
83.0	174
86.0	170
89.5	168
93.5	162
99.0	160
103.5	155
107.5	152
111.5	146
114.0	143
115.0	137
115.0	133
113.5	127
110.5	124
107.5	118
103.0	115
98.0	110
93.0	107
89.0	101
86.0	99
84.0	94
83.5	92
84.0	88
85.5	87
88.5	83
92.5	83
96.5	80
101.5	80
106.0	78
109.0	79
112.0	77
113.5	78
112.5	78
111.5	80
109.0	80
104.5	82
100.5	83
96.0	85
90.0	86
86.0	89
82.5	91
79.0	94
78.0	97
78.0	100
78.0	102
81.0	105
84.5	108
88.0	111
93.0	113
97.5	116
100.0	118
103.0	120
105.0	122
104.5	124
103.5	126
101.5	127
97.0	129
93.0	129
88.5	131
82.0	130
77.5	132
74.0	131
69.5	132
68.0	131
68.0	131
67.0	129
69.5	129
73.0	127
75.5	127
80.5	125
85.0	124
87.5	121
91.0	121
93.5	118
93.0	118
93.0	114
91.5	114
87.0	111
83.5	111
79.0	108
73.0	110
68.5	107
64.5	108
60.0	106
58.0	107
57.5	105
57.0	107
59.0	106
62.0	108
65.0	108
69.5	111
74.5	111
78.0	113
81.5	114
84.5	118
85.0	119
85.0	123
84.0	125
81.0	129
77.5	131
73.5	136
68.5	138
63.5	143
59.5	146
55.5	150
53.0	153
52.0	158
52.0	161
53.5	165
56.5	168
60.0	171
64.5	174
69.5	177
74.0	180
