x	y
89.5	128
86.5	132
84.5	138
84.0	146
84.5	155
86.0	165
89.0	174
93.0	182
97.5	188
102.5	191
107.0	191
110.5	189
113.5	184
115.0	177
115.0	169
114.0	159
111.5	149
107.5	141
103.5	134
99.0	129
94.0	127
90.0	127
86.5	130
83.5	136
82.5	143
82.5	152
84.0	162
87.0	171
90.5	179
94.5	185
99.5	189
104.0	190
108.0	188
111.0	184
113.0	178
113.0	170
112.0	161
110.0	151
107.0	142
103.0	134
98.5	128
92.5	125
88.0	125
84.5	127
81.5	132
80.0	139
80.0	147
80.0	156
82.5	165
86.0	173
90.0	180
95.0	185
99.5	187
102.5	187
106.0	184
108.5	176
109.5	169
109.5	160
108.0	150
103.5	141
100.0	133
95.5	127
90.5	123
86.0	120
82.0	121
78.0	125
76.0	131
75.5	139
76.0	148
78.0	158
81.0	167
83.5	172
88.0	178
93.0	181
97.5	181
101.0	179
104.0	174
104.0	167
104.0	159
103.0	148
100.5	138
97.0	130
93.0	123
87.0	118
82.0	116
78.0	116
74.5	119
72.0	122
71.0	129
69.5	138
71.0	148
74.0	157
77.5	165
82.0	171
87.0	175
90.0	175
94.0	173
97.0	169
99.0	163
100.0	155
99.0	146
95.0	136
92.0	127
88.0	117
83.5	111
78.5	108
74.0	108
69.0	110
66.0	115
64.5	122
64.5	130
65.5	137
68.0	146
70.0	154
74.0	161
79.0	166
83.5	168
87.5	168
91.0	165
92.0	156
93.0	149
93.0	140
91.5	130
88.5	121
85.0	113
79.0	107
74.0	103
69.5	99
65.5	100
62.5	104
60.5	110
59.0	118
59.5	127
61.5	137
64.5	146
68.5	150
73.0	156
76.5	159
81.0	159
84.5	157
87.5	152
89.0	145
89.0	137
87.0	124
84.5	114
81.0	106
77.0	99
72.5	94
67.5	92
62.5	92
59.0	95
56.5	98
55.5	105
55.5	114
57.0	124
59.0	133
62.5	141
67.0	147
72.0	151
76.5	150
80.5	148
82.5	144
84.5	138
85.5	130
84.5	121
82.5	111
79.5	102
75.0	92
70.5	86
65.5	83
61.0	83
57.5	85
54.5	90
52.5	97
52.5	105
53.5	112
56.0	121
59.5	129
63.5	136
68.0	141
72.5	143
76.5	143
80.0	140
82.5	132
83.5	125
83.5	116
82.0	106
79.0	97
75.5	89
71.0	83
66.0	79
61.5	75
