x	y
91.5	184
95.0	186
96.5	185
95.0	187
91.5	187
86.5	188
80.5	187
72.5	188
67.5	187
64.0	188
63.0	187
64.0	187
67.5	185
72.5	186
79.0	184
83.5	183
88.5	181
92.0	181
93.5	179
92.0	178
88.5	175
83.5	174
77.5	172
69.5	171
64.5	168
61.0	166
60.0	163
61.0	161
64.5	158
69.5	156
76.0	153
81.0	151
86.0	148
89.5	145
91.0	141
89.5	139
86.0	136
81.0	133
75.0	130
67.0	127
62.0	124
58.5	121
57.5	118
58.5	115
62.0	113
67.0	110
73.5	107
78.5	103
83.5	101
87.0	98
88.5	96
87.0	93
83.5	91
78.5	88
72.5	86
65.0	83
60.0	82
56.5	80
55.5	79
56.5	76
60.0	75
65.0	73
71.5	73
76.5	71
81.5	71
85.0	69
86.5	69
85.0	67
81.5	67
76.5	66
70.5	67
63.0	66
58.0	67
54.5	66
53.5	67
54.5	67
58.0	69
63.0	69
69.5	71
75.0	71
80.0	73
83.5	73
85.0	75
83.5	76
80.0	79
75.0	80
69.0	82
62.0	83
57.0	86
53.5	88
52.5	91
53.5	93
57.0	96
62.0	98
68.5	101
74.0	103
79.0	107
82.5	110
84.0	113
82.5	115
79.0	118
74.0	121
68.0	124
61.5	127
56.5	130
53.0	133
52.0	136
53.0	139
56.5	141
61.5	145
68.0	148
74.0	151
79.0	153
82.5	156
84.0	158
82.5	161
79.0	163
74.0	166
68.0	168
61.5	171
56.5	172
53.0	174
52.0	175
53.0	178
56.5	179
61.5	181
68.0	181
74.0	183
79.0	184
82.5	186
84.0	185
82.5	187
79.0	187
74.0	188
68.0	187
62.0	188
57.0	187
53.5	188
52.5	187
53.5	187
57.0	185
62.0	186
68.5	184
75.0	183
80.0	181
83.5	181
85.0	179
83.5	178
80.0	175
75.0	174
69.0	172
63.0	171
58.0	168
54.5	166
53.5	163
54.5	161
58.0	158
63.0	156
69.5	153
76.5	151
81.5	148
85.0	145
86.5	141
85.0	139
81.5	136
76.5	133
70.5	130
65.0	127
60.0	124
56.5	121
55.5	118
56.5	115
60.0	113
65.0	110
71.5	107
78.5	103
83.5	101
87.0	98
88.5	96
87.0	93
83.5	91
78.5	88
72.5	86
67.0	83
62.0	82
58.5	80
57.5	79
58.5	76
62.0	75
67.0	73
73.5	73
81.0	71
