x	y
88.0	91
84.5	95
83.0	102
84.0	112
87.5	122
92.0	129
98.5	134
104.5	135
109.0	130
112.5	121
114.0	110
111.5	97
108.0	83
103.0	73
96.0	66
89.5	64
84.5	66
80.0	74
79.0	85
80.0	99
82.5	113
87.5	125
94.0	134
98.5	139
103.5	139
107.0	134
107.5	127
106.0	118
102.5	108
96.0	101
90.0	98
83.5	99
77.0	104
73.5	114
72.5	127
72.0	143
75.5	157
80.5	170
85.5	179
91.5	184
96.5	183
98.5	178
100.0	169
98.5	158
93.0	146
88.0	136
82.0	130
74.0	127
69.0	129
65.5	135
63.0	144
64.0	156
67.5	166
71.0	174
77.5	179
83.5	180
87.0	174
90.5	165
92.0	152
89.5	137
86.0	121
81.0	108
73.5	98
67.0	92
62.0	91
57.5	95
56.5	102
57.5	112
60.0	122
65.0	129
71.5	134
76.5	135
81.5	130
85.0	121
85.5	110
84.0	97
80.5	83
75.0	73
69.0	66
62.5	64
57.0	66
53.5	74
52.5	85
53.0	99
56.5	113
61.5	125
68.0	134
74.0	139
79.0	139
82.5	134
84.0	127
82.5	118
79.0	108
74.0	101
68.0	98
61.5	99
56.5	104
53.0	114
52.5	127
53.5	143
57.0	157
62.5	170
69.0	179
75.0	184
80.5	183
84.0	178
85.5	169
85.0	158
81.5	146
76.5	136
71.5	130
65.0	127
60.0	129
57.5	135
56.5	144
57.5	156
62.0	166
67.0	174
73.5	179
81.0	180
86.0	174
89.5	165
92.0	152
90.5	137
87.0	121
83.5	108
77.5	98
71.0	92
67.5	91
64.0	95
63.0	102
65.5	112
69.0	122
74.0	129
82.0	134
88.0	135
93.0	130
98.5	121
100.0	110
98.5	97
96.5	83
91.5	73
85.5	66
80.5	64
75.5	66
72.0	74
72.5	85
73.5	99
77.0	113
83.5	125
90.0	134
96.0	139
102.5	139
106.0	134
107.5	127
107.0	118
103.5	108
98.5	101
94.0	98
87.5	99
82.5	104
80.0	114
79.0	127
80.0	143
84.5	157
89.5	170
96.0	179
103.0	184
108.0	183
111.5	178
114.0	169
112.5	158
109.0	146
104.5	136
98.5	130
92.0	127
87.5	129
84.0	135
83.0	144
84.5	156
88.0	166
93.0	174
99.5	179
105.5	180
110.5	174
114.5	165
116.0	152
114.5	137
110.5	121
105.5	108
99.5	98
93.0	92
