x	y
60.0	121
65.0	121
71.5	121
77.5	112
82.5	101
85.0	88
86.5	77
85.0	69
81.5	66
76.5	68
70.5	74
63.0	83
58.0	95
54.5	108
53.5	121
54.5	129
58.0	132
62.5	131
69.0	125
75.0	118
80.0	106
83.5	93
85.0	82
83.0	74
79.5	73
74.5	74
68.5	80
62.0	89
57.0	101
53.0	116
52.0	127
53.0	135
56.5	138
61.5	137
68.0	134
74.0	125
79.0	113
82.5	100
84.0	89
82.5	83
79.0	80
74.0	81
68.0	87
61.5	96
56.5	111
53.0	124
52.0	135
53.0	143
56.5	146
61.5	148
68.0	142
74.0	133
79.0	121
82.5	108
84.0	100
82.5	92
79.0	89
74.0	90
68.0	96
62.0	108
57.0	120
53.5	133
52.5	144
53.5	152
57.0	159
62.5	158
69.0	152
75.0	143
80.0	131
83.5	121
85.0	110
84.0	102
80.5	99
75.5	100
69.5	109
63.0	118
58.0	130
55.5	143
54.5	154
55.5	165
59.0	168
64.0	167
70.5	161
77.5	152
82.5	143
86.0	130
87.5	119
86.0	111
82.5	108
78.5	112
72.5	118
66.0	127
61.0	139
57.5	152
56.5	165
58.5	173
62.0	176
67.0	175
73.5	169
79.5	163
84.5	151
89.5	138
91.0	127
89.5	119
86.0	118
81.0	119
75.0	125
69.5	134
64.5	146
61.0	161
60.0	172
61.0	180
64.5	183
71.0	182
77.5	178
83.5	169
88.5	157
92.0	144
93.5	133
93.5	127
90.0	124
85.0	125
79.0	131
72.5	140
67.5	153
65.5	166
64.5	177
65.5	185
69.0	188
74.0	188
80.5	182
88.0	173
93.0	161
96.5	148
98.0	138
96.5	130
93.0	127
90.0	128
84.0	134
77.5	143
72.5	155
69.0	168
68.0	179
70.5	187
74.0	191
79.0	190
85.5	184
91.5	175
96.5	163
101.5	149
103.0	138
101.5	130
98.0	127
93.0	128
87.0	134
82.0	143
77.0	155
73.5	168
72.5	179
73.5	186
77.0	189
83.5	188
90.0	182
96.0	173
101.0	160
104.5	147
106.0	136
106.0	128
102.5	125
97.5	125
91.5	131
85.0	140
80.0	152
77.5	165
76.5	174
77.5	182
81.0	185
86.0	184
92.5	178
100.0	167
105.0	155
108.5	142
110.0	131
108.5	123
105.0	118
101.0	119
95.0	125
88.5	134
83.5	146
80.0	157
79.0	168
81.0	176
