x	y
108.0	188
110.5	181
112.5	172
114.0	159
115.0	146
115.5	135
115.0	127
114.0	124
112.5	124
110.5	129
108.0	137
105.5	148
102.5	157
99.5	165
96.0	169
92.5	169
90.0	163
87.5	153
85.5	140
84.0	124
83.0	108
83.0	95
83.0	85
83.5	80
85.0	80
87.0	84
89.5	92
92.0	103
95.0	113
98.5	121
101.5	127
104.0	129
106.5	125
109.0	118
111.0	108
112.5	96
113.5	83
114.0	74
113.5	68
111.5	67
110.0	71
108.0	80
105.5	92
103.0	107
100.0	122
97.0	134
93.5	144
89.5	150
87.0	150
84.5	146
82.5	140
81.0	131
80.0	121
80.0	114
80.0	110
80.0	111
81.5	115
83.5	125
86.0	137
88.5	152
91.5	166
95.0	178
98.0	186
100.0	190
102.5	188
105.0	181
107.0	172
108.5	159
109.5	146
110.0	135
109.5	127
107.0	124
105.5	124
103.5	129
101.0	137
98.5	148
95.5	157
92.5	165
89.0	169
85.0	169
82.5	163
80.0	153
78.0	140
76.5	124
75.5	108
75.5	95
75.5	85
75.0	80
76.5	80
78.5	84
81.0	92
83.5	103
86.5	113
90.0	121
93.0	127
94.5	129
97.0	125
99.5	118
101.5	108
103.0	96
104.0	83
104.5	74
104.0	68
101.5	67
100.0	71
98.0	80
95.5	92
93.0	107
90.0	122
87.0	134
83.5	144
79.0	150
76.5	150
74.0	146
72.0	140
70.5	131
69.5	121
69.5	114
69.5	110
69.0	111
70.5	115
72.5	125
75.0	137
77.5	152
80.5	166
84.0	178
87.0	186
88.0	190
90.5	188
93.0	181
95.0	172
96.5	159
97.5	146
98.0	135
97.5	127
95.0	124
93.5	124
91.5	129
89.0	137
86.5	148
83.5	157
80.5	165
77.0	169
72.5	169
70.0	163
67.5	153
65.5	140
64.0	124
63.0	108
63.0	95
63.0	85
62.5	80
64.0	80
66.0	84
68.5	92
71.0	103
74.0	113
77.5	121
80.5	127
82.0	129
84.5	125
87.0	118
89.0	108
90.5	96
91.5	83
92.0	74
91.5	68
89.5	67
88.0	71
86.0	80
83.5	92
81.0	107
78.0	122
75.0	134
71.5	144
67.0	150
64.5	150
62.0	146
60.0	140
58.5	131
57.5	121
57.5	114
57.5	110
57.5	111
59.0	115
61.0	125
63.5	137
66.0	152
69.0	166
72.5	178
75.5	186
77.5	190
