x	y
58.0	129
55.5	129
54.0	129
54.5	125
56.0	120
59.0	113
63.0	107
68.5	101
74.0	94
80.5	88
86.5	83
91.5	76
96.0	72
99.5	69
101.0	67
101.5	67
100.5	67
98.5	68
96.0	71
92.5	75
89.0	80
86.0	85
83.5	91
82.0	97
82.0	103
82.5	109
84.5	114
88.0	119
91.5	123
96.5	125
101.0	127
105.5	128
109.0	127
111.5	125
113.0	122
113.0	118
111.0	113
108.0	108
104.0	102
98.5	96
93.0	89
86.5	83
80.5	78
75.5	73
71.0	69
68.0	66
66.0	64
65.5	64
66.5	64
68.5	66
71.0	69
75.0	73
78.0	78
81.0	83
83.5	89
85.0	96
85.0	102
84.5	108
82.5	113
79.0	119
75.5	123
71.0	126
66.0	128
61.5	129
58.0	128
55.5	127
54.0	124
54.5	120
56.0	115
59.0	110
63.0	104
68.5	99
74.0	92
80.5	86
86.5	81
91.5	76
96.0	72
99.5	71
101.0	69
101.5	69
100.5	69
98.5	71
96.0	74
92.5	80
89.0	85
86.0	90
83.5	96
82.0	103
82.0	109
82.5	117
84.5	122
88.0	127
91.5	131
96.5	134
101.0	136
105.5	139
109.0	138
111.5	136
113.0	133
113.0	129
111.0	124
108.0	122
104.0	116
98.5	110
93.0	103
86.5	97
80.5	92
75.5	89
71.0	85
68.0	82
66.0	80
65.5	80
66.5	80
68.5	85
71.0	88
75.0	92
78.0	97
81.0	102
83.5	108
85.0	118
85.0	124
84.5	130
82.5	135
79.0	140
75.5	144
71.0	150
66.0	152
61.5	153
58.0	152
55.5	150
54.0	147
54.5	146
56.0	141
59.0	136
63.0	130
68.5	124
74.0	117
80.5	115
86.5	110
91.5	105
96.0	101
99.5	98
101.0	96
101.5	99
100.5	99
98.5	101
96.0	104
92.5	108
89.0	113
86.0	121
83.5	127
82.0	134
82.0	140
82.5	146
84.5	151
88.0	159
91.5	163
96.5	166
101.0	168
105.5	169
109.0	168
111.5	169
113.0	166
113.0	162
111.0	157
108.0	152
104.0	146
98.5	143
93.0	136
86.5	130
80.5	125
75.5	120
71.0	116
68.0	115
66.0	113
65.5	113
66.5	113
68.5	115
71.0	118
75.0	125
78.0	130
81.0	135
83.5	141
85.0	148
85.0	154
84.5	162
82.5	167
79.0	172
75.5	176
71.0	179
66.0	181
61.5	184
