x	y
78.0	126
77.0	126
76.5	126
76.0	126
76.5	127
76.5	127
76.5	127
76.5	127
78.0	127
78.5	127
79.0	128
79.5	128
81.5	128
82.5	128
83.5	129
84.5	130
87.0	130
88.0	130
89.5	130
91.0	129
93.5	130
95.0	130
97.0	130
98.5	130
101.0	130
102.5	132
104.0	132
105.5	132
107.0	132
108.5	131
109.5	133
110.5	133
112.0	133
113.0	133
113.5	132
114.0	134
115.0	134
115.0	134
115.5	134
115.0	133
115.0	135
114.5	135
114.0	135
113.5	135
113.0	133
112.0	136
111.0	136
110.0	136
108.0	136
107.0	134
105.5	136
104.0	136
102.5	136
101.0	136
99.5	134
97.5	137
95.5	137
94.0	137
92.5	137
91.0	135
89.5	138
88.0	138
87.0	138
86.0	138
84.5	135
83.5	138
83.0	138
82.5	138
81.0	138
81.0	136
81.0	139
81.0	139
80.0	139
80.5	139
81.0	136
81.5	140
81.5	140
82.5	140
83.5	140
84.5	137
85.0	140
86.0	140
87.5	140
89.0	140
89.0	137
90.5	140
92.5	140
94.0	140
94.5	140
96.0	137
97.5	140
99.0	140
98.5	140
100.0	140
101.0	137
102.0	140
101.5	140
102.5	140
103.0	140
103.5	136
102.5	139
102.5	139
103.0	139
102.5	139
101.0	136
100.5	138
100.0	138
99.5	138
97.0	138
96.0	135
95.0	138
94.0	138
90.5	138
89.5	138
88.0	135
86.5	137
83.5	137
82.0	137
80.5	137
78.5	134
75.5	136
74.0	136
72.5	136
71.0	136
68.5	134
67.0	136
66.0	136
65.0	136
62.5	136
61.5	133
61.0	135
60.5	135
59.0	135
59.0	135
59.0	133
59.0	134
57.5	134
58.0	134
58.5	134
59.0	132
59.0	133
60.0	133
61.0	133
62.0	133
62.5	131
63.5	132
65.0	132
66.5	132
67.0	132
68.5	130
70.5	130
72.0	130
72.5	130
74.0	130
75.5	129
77.0	130
77.5	130
79.0	130
80.0	130
81.0	129
81.5	128
82.5	128
83.0	128
83.5	128
83.5	127
83.5	127
84.0	127
83.5	127
83.5	127
83.0	127
82.5	126
82.0	126
81.0	126
80.0	126
79.0	126
78.0	125
76.5	125
75.5	125
74.0	125
72.5	125
71.0	124
69.5	124
68.0	124
66.0	124
65.0	124
63.5	122
62.0	122
60.5	122
60.0	122
58.5	123
57.5	121
56.5	121
