x	y
103.5	135
103.5	135
103.5	135
104.5	134
104.5	134
104.5	132
105.0	132
105.0	132
105.0	132
106.0	131
106.0	131
106.0	129
107.0	128
106.0	128
106.0	128
107.0	127
107.0	127
107.0	126
108.0	124
108.0	124
106.5	124
107.0	122
107.0	122
107.0	121
107.5	119
107.5	119
107.5	119
107.0	117
107.0	117
107.0	116
107.0	113
107.0	113
107.0	113
107.5	111
106.0	111
106.0	111
105.5	108
105.5	108
105.5	108
105.5	105
105.5	105
104.0	105
103.5	102
103.5	102
103.5	102
103.0	99
103.0	99
103.0	99
101.0	96
101.0	96
101.0	96
100.0	92
100.0	92
100.0	92
99.0	89
97.5	89
97.5	89
96.5	86
96.5	86
96.5	87
95.5	84
95.5	84
94.0	84
92.5	81
92.5	81
92.5	82
91.5	80
91.5	80
91.5	80
88.0	77
88.0	77
88.0	78
86.5	76
86.5	76
86.5	76
85.0	74
83.5	74
83.5	76
82.0	74
82.0	74
82.0	74
80.5	72
80.5	72
79.0	74
77.0	73
77.0	73
77.0	73
75.5	72
75.5	72
75.5	74
72.5	73
72.5	73
72.5	73
71.0	73
71.0	73
71.0	75
69.5	75
68.0	75
68.0	75
67.0	75
67.0	75
67.0	78
65.5	78
65.5	78
64.5	78
63.5	79
63.5	79
63.5	81
62.5	82
62.5	82
62.5	82
60.0	83
60.0	83
60.0	86
59.0	88
59.0	88
59.0	88
58.5	90
57.5	90
57.5	93
57.0	95
57.0	95
57.0	95
56.5	97
56.5	97
55.5	100
55.5	103
55.5	103
55.5	103
55.5	105
55.5	105
55.5	108
54.5	111
54.5	111
54.5	111
54.5	114
54.5	114
54.5	118
55.0	121
54.0	121
54.0	121
54.5	124
54.5	124
54.5	127
55.0	131
55.0	131
54.5	131
55.5	134
55.5	134
55.5	137
56.5	140
56.5	140
56.5	140
57.0	143
57.0	143
57.0	146
58.0	149
58.0	149
58.0	149
59.5	152
59.0	152
59.0	155
60.0	157
60.0	157
60.0	157
61.5	160
61.5	160
61.5	163
63.0	165
63.0	165
63.0	165
64.5	167
64.5	167
64.5	169
66.0	171
66.0	171
66.0	171
68.0	173
68.0	173
68.0	176
69.5	177
69.5	177
69.5	177
71.0	178
71.0	178
71.0	180
72.5	181
72.5	181
72.5	181
74.0	181
74.0	181
74.0	183
