x	y
63.5	101
61.0	108
59.0	118
57.5	128
56.5	140
56.5	150
56.5	157
58.5	156
60.0	153
62.0	146
64.5	136
67.0	121
70.0	108
73.5	98
76.5	91
81.0	86
83.5	88
86.0	95
88.0	105
89.5	115
90.5	127
91.0	137
90.5	144
90.5	144
89.0	141
87.0	134
84.5	124
82.0	110
79.0	97
76.0	87
72.5	80
71.0	75
68.5	77
66.0	84
64.0	94
62.5	105
61.5	117
61.5	127
61.5	134
64.0	135
65.5	132
67.5	125
70.0	115
72.5	101
75.5	88
79.0	78
82.0	71
86.5	67
89.0	69
91.5	76
93.5	86
95.0	98
96.0	110
96.5	120
96.0	127
96.5	129
95.0	126
93.0	119
90.5	109
88.0	96
85.0	83
82.0	73
78.5	66
77.5	64
75.0	66
72.5	73
70.5	83
69.0	96
68.0	108
68.0	118
68.0	125
70.5	128
72.0	125
74.0	118
76.5	108
79.0	96
82.0	83
85.5	73
88.5	66
93.0	65
95.5	67
98.0	74
100.0	84
101.5	98
102.5	110
103.0	120
102.5	127
103.0	131
101.5	128
99.5	121
97.0	111
94.5	101
91.5	88
88.5	78
85.0	71
83.5	71
81.0	73
78.5	80
76.5	90
75.0	105
74.0	117
74.0	127
74.0	134
76.5	139
78.0	136
80.0	129
82.5	119
85.0	110
88.0	97
91.5	87
94.5	80
98.5	80
101.0	82
103.5	89
105.5	99
107.0	115
108.0	127
108.5	137
108.0	144
108.5	150
107.0	147
105.0	140
102.5	130
100.0	121
97.0	108
94.0	98
90.5	91
88.5	92
86.0	94
83.5	101
81.5	111
80.0	128
79.0	140
79.0	150
79.0	157
81.0	163
82.5	160
84.5	153
87.0	143
89.5	134
92.5	121
96.0	111
99.0	104
103.0	105
105.5	107
108.0	114
110.0	124
111.5	140
112.5	152
113.0	162
112.5	169
112.5	175
111.0	172
109.0	165
106.5	155
104.0	145
101.0	132
98.0	122
94.5	115
92.0	116
89.5	118
87.0	125
85.0	135
83.5	150
82.5	162
82.5	172
82.5	179
84.0	184
85.5	181
87.5	174
90.0	164
92.5	154
95.5	141
99.0	131
102.0	124
105.5	124
108.0	126
110.5	133
112.5	143
114.0	157
115.0	169
115.5	179
115.0	186
114.0	190
112.5	187
110.5	180
108.0	170
105.5	159
102.5	146
99.5	136
96.0	129
93.5	127
