x	y
88.0	132
88.0	127
86.0	120
86.0	112
84.5	102
83.5	92
82.5	83
82.5	75
80.0	69
80.0	66
79.0	66
78.0	68
77.0	74
77.0	82
75.0	92
75.0	103
74.5	116
73.0	127
72.5	137
72.5	146
71.0	152
71.0	155
71.0	157
69.5	155
69.5	151
69.5	146
68.0	140
68.0	133
68.5	127
66.5	123
67.0	120
67.0	120
66.0	122
66.0	127
67.0	134
65.5	142
66.5	152
66.5	162
66.0	172
66.0	179
67.0	185
65.5	188
67.0	189
67.0	186
67.0	180
67.0	172
68.5	162
67.0	151
68.5	138
68.5	127
69.0	117
69.0	108
70.5	102
69.5	99
71.5	98
71.5	99
72.0	103
72.0	108
73.5	115
72.5	121
74.0	127
74.0	131
75.0	134
75.0	134
76.5	132
76.0	127
77.0	120
77.0	112
78.0	102
78.0	92
79.0	83
79.0	75
80.0	69
80.0	66
81.0	66
81.0	68
82.0	74
82.0	82
82.5	92
82.5	103
83.0	116
83.0	127
83.5	137
84.0	146
84.0	152
84.0	155
85.0	157
85.0	155
84.5	151
85.0	146
85.0	140
85.0	133
85.5	127
85.5	123
85.0	120
86.0	120
85.5	122
85.5	127
85.5	134
85.5	142
84.5	152
85.5	162
84.5	172
84.5	179
85.0	185
85.0	188
83.5	189
84.5	186
83.5	180
83.5	172
83.5	162
83.5	151
82.0	138
83.5	127
82.0	117
82.0	108
82.0	102
82.0	99
80.5	98
82.0	99
80.0	103
80.0	108
80.5	115
80.5	121
79.0	127
80.5	131
79.0	134
79.0	134
79.0	132
79.0	127
78.0	120
79.5	112
78.0	102
78.0	92
78.5	83
78.5	75
77.5	69
79.0	66
78.0	66
78.0	68
78.0	74
78.0	82
77.5	92
79.0	103
78.5	116
78.5	127
79.0	137
79.0	146
79.0	152
80.0	155
80.0	157
80.0	155
81.0	151
81.0	146
81.0	140
82.0	133
82.5	127
82.5	123
83.5	120
83.5	120
84.0	122
84.5	127
85.5	134
85.5	142
87.0	152
87.0	162
88.0	172
88.0	179
89.0	185
89.0	188
91.0	189
91.0	186
92.0	180
91.5	172
93.0	162
93.0	151
94.5	138
94.5	127
96.0	117
95.5	108
97.0	102
97.0	99
98.5	98
98.5	99
100.0	103
99.5	108
101.0	115
101.0	121
101.5	127
101.5	131
103.0	134
102.0	134
