x	y
105.5	76
105.5	80
105.5	84
106.5	92
107.0	101
107.0	109
108.5	118
108.5	125
108.5	129
110.0	132
110.0	132
110.0	128
111.0	123
111.0	116
111.5	107
112.5	98
112.5	88
112.5	79
113.5	72
113.5	67
113.5	64
114.0	64
114.0	67
114.0	73
115.0	80
115.0	89
115.0	99
115.5	108
115.5	116
115.0	122
115.0	126
115.0	128
115.0	126
115.5	122
115.5	116
115.5	109
115.0	100
115.0	90
115.0	82
114.5	75
114.5	69
114.5	67
114.0	67
114.0	69
113.5	76
113.0	83
113.0	91
113.0	103
112.5	112
112.0	120
112.0	129
111.0	134
111.0	136
111.0	138
109.0	135
109.0	129
109.0	125
108.0	116
108.0	106
107.0	99
106.0	91
106.0	85
106.0	84
104.5	83
103.5	84
103.5	91
102.5	97
102.5	105
102.5	117
100.0	127
100.0	136
100.0	146
98.5	152
98.5	155
97.0	159
95.5	157
95.5	152
95.5	148
94.0	140
93.0	131
93.0	124
91.5	116
91.5	109
91.5	107
88.0	105
88.0	105
88.0	111
86.5	117
86.5	124
85.0	136
83.5	146
83.5	155
83.5	165
82.0	171
80.5	175
80.5	180
79.0	178
79.0	174
79.0	170
76.5	162
76.5	153
76.5	145
75.0	136
75.0	129
73.5	125
72.5	122
72.5	122
72.5	126
71.5	131
69.5	138
69.5	147
68.5	157
68.5	166
68.5	175
66.0	182
66.0	187
66.0	190
65.5	190
65.5	187
64.0	181
63.5	174
63.5	165
63.5	156
63.0	147
61.5	139
61.5	132
61.5	128
61.5	127
61.5	128
60.0	132
60.0	138
60.0	145
60.0	154
60.0	164
59.0	172
59.0	179
59.0	185
59.0	187
59.5	187
58.0	185
58.0	178
58.5	171
58.5	163
58.5	152
58.0	142
58.0	134
58.0	125
59.0	120
59.0	118
58.0	116
59.0	119
59.0	125
59.0	129
60.0	138
59.0	148
59.0	155
60.0	163
60.0	169
60.0	170
60.5	172
60.5	170
60.5	163
61.5	157
61.5	149
61.0	137
62.5	127
62.5	118
62.5	108
64.0	102
63.5	99
63.5	96
65.0	98
65.0	103
65.0	106
66.0	114
66.0	124
66.0	130
68.0	138
68.0	145
68.0	147
69.5	149
69.5	149
69.5	143
71.0	137
71.0	130
71.0	118
72.5	108
72.5	99
72.5	89
74.0	83
74.0	79
74.0	75
