x	y
79.0	77
82.5	84
84.0	94
82.5	107
79.0	119
74.5	127
68.5	134
62.0	137
57.5	134
54.0	127
53.0	117
54.5	103
58.0	90
63.0	80
70.5	73
76.5	71
81.5	73
86.0	78
87.5	88
86.0	101
83.5	113
78.5	123
72.5	130
67.0	131
62.0	128
58.5	121
59.0	111
60.0	99
63.5	86
69.5	75
76.0	68
82.0	66
88.5	68
92.0	75
93.5	85
93.5	97
90.0	109
85.0	119
80.5	126
74.0	129
69.0	126
67.0	118
66.0	108
67.0	96
72.5	83
77.5	73
84.0	66
91.5	64
96.5	66
100.0	73
103.0	83
101.5	96
98.0	108
94.5	118
88.5	125
82.0	128
78.5	125
75.0	118
74.0	108
76.5	96
80.0	83
85.0	73
92.5	66
98.5	64
103.5	66
108.5	73
110.0	83
108.5	96
106.0	108
101.0	118
95.0	125
89.5	129
84.5	126
81.0	119
81.0	109
82.0	97
85.5	84
91.5	75
98.0	68
104.0	66
109.5	68
113.0	75
114.5	85
113.5	99
110.0	111
105.0	121
99.5	128
93.0	131
88.0	128
84.5	123
83.5	113
84.5	101
88.5	88
93.5	78
100.0	71
105.5	71
110.5	73
114.0	80
115.5	90
114.0	103
110.5	115
105.0	127
99.0	134
92.5	137
87.0	134
83.5	127
82.5	117
83.0	107
86.5	94
91.5	84
97.0	77
103.0	75
108.0	77
110.5	87
112.0	97
110.5	110
106.0	122
101.0	132
95.0	139
87.5	144
82.5	141
79.0	134
76.5	124
77.5	112
81.0	99
85.0	92
91.5	85
97.5	83
101.0	85
104.5	92
106.0	102
103.0	118
99.5	130
94.5	140
87.0	147
80.5	150
75.5	147
70.5	143
69.5	133
70.5	121
72.5	108
77.5	98
84.0	91
88.0	92
93.0	94
96.5	101
96.5	111
95.0	124
91.5	136
85.0	150
79.0	157
72.5	160
66.0	157
62.5	150
61.5	140
61.0	131
64.5	118
69.5	108
75.0	101
81.0	99
86.0	101
88.0	111
89.5	121
88.0	134
83.5	146
78.5	156
72.5	163
65.0	169
60.0	166
56.5	159
54.5	149
55.5	137
59.0	124
63.0	117
69.5	110
75.5	108
80.0	110
83.5	117
85.0	127
83.0	143
79.5	155
74.5	165
68.0	172
61.5	175
56.5	172
53.0	167
52.0	157
53.0	145
56.5	132
61.5	122
68.0	115
74.0	116
