x	y
80.5	190
82.5	190
84.0	191
84.5	190
83.0	189
81.0	188
78.0	186
74.0	185
69.5	182
65.0	180
61.0	176
58.0	174
56.0	169
55.5	167
56.5	162
58.5	159
62.5	154
67.0	151
72.5	145
79.0	141
85.0	136
90.5	133
96.0	127
100.0	124
102.5	119
104.0	116
104.0	111
102.5	109
100.0	104
97.0	102
93.0	98
89.5	97
86.5	92
84.5	92
83.0	89
83.0	89
84.0	86
86.0	87
89.5	85
93.0	86
97.5	85
102.0	87
106.0	87
109.0	89
111.0	89
111.5	91
110.5	92
108.5	95
104.5	96
100.0	99
94.5	101
88.5	104
82.0	105
76.5	108
71.5	110
67.0	113
64.5	114
63.0	117
63.0	118
64.5	120
67.0	122
70.0	124
74.0	125
77.5	126
80.5	127
82.5	127
84.0	128
84.5	127
83.0	128
81.0	127
78.0	127
74.0	126
69.5	125
65.0	123
61.0	123
58.0	121
56.0	120
55.5	118
56.5	117
58.5	114
62.5	113
67.0	110
72.5	110
79.0	106
85.0	105
90.5	102
96.0	102
100.0	99
102.5	100
104.0	97
104.0	98
102.5	96
100.0	97
97.0	95
93.0	98
89.5	97
86.5	99
84.5	99
83.0	102
83.0	102
84.0	105
86.0	106
89.5	110
93.0	111
97.5	116
102.0	118
106.0	122
109.0	124
111.0	130
111.5	132
110.5	137
108.5	140
104.5	145
100.0	148
94.5	154
88.5	157
82.0	162
76.5	165
71.5	169
67.0	172
64.5	175
63.0	178
63.0	181
64.5	183
67.0	185
70.0	187
74.0	189
77.5	190
80.5	190
82.5	190
84.0	191
84.5	190
83.0	189
81.0	188
78.0	186
74.0	185
69.5	182
65.0	180
61.0	176
58.0	174
56.0	169
55.5	167
56.5	162
58.5	159
62.5	154
67.0	151
72.5	145
79.0	141
85.0	136
90.5	133
96.0	127
100.0	124
102.5	119
104.0	116
104.0	111
102.5	109
100.0	104
97.0	102
93.0	98
89.5	97
86.5	92
84.5	92
83.0	89
83.0	89
84.0	86
86.0	87
89.5	85
93.0	86
97.5	85
102.0	87
106.0	87
109.0	89
111.0	89
111.5	91
110.5	92
108.5	95
104.5	96
100.0	99
94.5	101
88.5	104
82.0	105
76.5	108
71.5	110
67.0	113
64.5	114
63.0	117
63.0	118
64.5	120
67.0	122
70.0	124
74.0	125
77.5	126
