x	y
91.5	94
91.0	101
91.0	111
89.5	124
89.5	136
89.0	146
87.5	153
86.5	153
86.5	150
84.5	143
84.5	133
83.5	121
82.5	108
81.5	98
81.5	91
79.0	86
79.0	88
78.0	95
77.0	105
75.5	118
75.5	130
73.5	140
73.5	147
72.0	147
71.5	144
70.0	137
70.0	127
68.0	115
68.0	102
66.0	92
66.0	85
64.5	80
64.5	82
63.0	89
63.0	99
61.5	112
61.5	124
60.0	134
60.0	141
59.0	142
59.0	139
57.5	132
58.0	122
57.0	110
57.0	97
56.5	87
56.5	80
55.5	75
56.0	77
55.0	84
55.0	94
55.5	107
55.5	119
55.0	129
56.0	136
55.5	137
55.5	134
56.5	127
56.5	117
56.5	105
57.5	92
57.5	82
57.5	75
59.0	71
59.0	73
59.5	80
60.5	90
61.0	103
61.0	115
63.0	125
63.0	132
64.0	133
65.5	130
66.5	123
66.5	113
69.0	101
69.0	88
70.0	78
71.5	71
73.0	67
73.0	69
76.0	76
76.0	86
77.5	99
79.0	111
80.5	121
80.5	128
83.5	130
83.5	127
85.0	120
86.5	110
88.5	98
88.5	85
91.5	75
91.5	68
93.0	65
94.5	67
96.0	74
96.0	84
98.5	97
98.5	109
100.0	119
101.5	126
102.5	128
102.5	125
105.0	118
105.0	108
106.0	96
107.0	83
108.0	73
108.0	66
110.0	64
110.0	66
111.0	73
112.0	83
112.5	96
112.5	108
113.5	118
113.5	125
114.0	128
114.5	125
114.5	118
114.5	108
115.5	96
115.5	83
115.0	73
115.0	66
115.0	64
115.0	66
115.0	73
115.0	83
114.5	96
114.0	108
113.5	118
113.5	125
112.5	128
112.5	125
111.5	118
111.0	108
110.0	96
110.0	83
108.5	73
108.5	66
107.0	65
106.5	67
105.5	74
105.5	84
103.0	97
103.0	109
101.5	119
100.5	126
99.0	130
99.0	127
96.5	120
96.5	110
95.0	98
94.0	85
92.0	75
92.0	68
89.0	67
89.0	69
87.5	76
86.5	86
85.0	99
85.0	111
82.0	121
82.0	128
81.0	133
79.5	130
78.0	123
78.0	113
75.5	101
75.5	88
74.5	78
73.0	71
72.0	71
72.0	73
69.5	80
69.5	90
69.0	103
67.0	115
66.5	125
66.5	132
64.5	137
64.5	134
64.5	127
63.0	117
63.0	105
63.0	92
61.5	82
61.5	75
61.5	75
