x	y
60.5	69
61.0	67
61.5	66
61.5	65
62.5	64
63.5	64
63.0	64
64.5	64
65.5	64
66.0	65
67.5	66
69.0	67
69.5	69
71.5	71
73.0	73
73.5	76
75.0	79
76.5	81
77.0	84
78.0	87
79.5	91
80.0	94
81.0	98
82.0	101
82.5	104
83.0	108
83.5	111
83.5	114
83.5	116
84.0	119
83.5	123
83.5	125
83.0	127
82.5	129
82.0	130
81.0	133
80.0	134
79.0	134
78.0	135
76.5	134
75.5	136
74.0	135
73.0	134
71.5	133
70.0	131
69.0	131
67.0	129
65.5	127
64.5	124
63.0	122
61.5	122
61.5	119
60.0	116
59.0	113
59.0	110
58.0	108
57.0	105
57.5	102
57.0	99
56.5	96
57.5	97
57.5	94
57.5	92
59.0	90
59.5	88
60.0	89
61.5	88
62.5	87
63.5	86
66.0	86
67.0	89
68.5	89
71.0	89
72.5	90
74.0	91
77.0	95
78.5	97
80.5	99
83.5	101
85.0	103
86.5	110
90.0	112
91.5	115
92.5	118
95.5	121
96.5	127
97.5	131
100.0	134
101.0	137
101.5	140
103.5	146
104.0	149
104.0	151
106.0	154
105.5	156
105.5	161
106.5	163
106.0	165
105.5	166
105.5	167
104.5	171
103.5	171
104.0	172
102.5	171
101.5	171
101.0	173
99.5	172
98.0	171
97.5	169
96.0	167
94.0	167
93.5	165
92.0	162
90.5	160
90.0	157
89.0	157
87.5	154
87.0	151
86.0	148
85.0	144
84.5	143
84.0	140
83.5	137
83.5	134
83.5	132
83.5	131
83.5	129
83.5	127
84.0	125
85.0	123
85.5	124
86.5	123
87.0	122
88.0	122
89.0	122
90.5	124
91.5	124
93.0	125
94.0	126
95.5	127
97.0	130
98.5	132
100.0	134
101.5	136
102.5	139
104.0	142
105.5	145
105.5	148
107.0	151
108.0	154
108.0	159
109.0	162
110.0	165
109.5	168
110.0	171
110.5	174
109.5	176
110.0	179
109.5	181
108.0	183
107.5	186
107.0	188
105.5	189
104.5	190
103.5	191
101.0	190
100.0	191
98.5	190
96.0	190
94.5	189
93.0	188
90.0	187
88.5	185
87.0	183
83.5	181
82.0	178
80.5	175
77.5	173
76.0	170
75.0	167
71.5	163
70.5	160
69.5	157
67.0	153
66.0	150
65.5	146
63.5	143
63.0	140
63.0	138
61.5	135
61.5	131
61.5	129
