x	y
59.0	120
57.0	120
55.0	121
54.0	122
53.0	123
53.5	125
53.5	127
55.5	131
57.0	133
60.0	136
62.5	138
66.0	141
69.0	144
73.5	147
76.5	150
81.0	156
83.5	159
87.0	162
89.0	165
92.0	168
93.0	171
95.0	173
94.5	176
95.0	179
93.5	181
93.0	183
90.5	185
90.0	186
87.0	187
85.5	188
82.0	188
80.5	190
78.0	189
77.0	189
75.0	188
75.0	187
74.0	186
75.5	184
75.5	182
77.5	181
79.0	179
82.5	176
85.0	174
88.5	171
91.5	168
96.0	165
99.0	162
103.0	159
105.5	155
109.0	152
111.0	149
113.0	146
114.0	143
115.0	141
114.5	138
114.0	137
112.5	135
110.5	133
108.0	131
106.0	130
103.0	129
99.5	128
96.0	128
93.0	127
90.5	127
87.5	127
85.5	128
83.5	129
82.5	130
82.0	132
82.0	134
82.0	136
83.5	138
84.5	141
87.0	143
88.5	146
91.5	149
94.0	152
97.0	155
98.5	158
101.0	161
102.5	164
104.5	167
104.5	170
105.5	173
104.5	175
104.0	178
101.5	179
100.0	181
96.5	183
94.0	185
90.0	186
87.0	187
82.0	188
78.5	188
74.0	188
71.5	187
67.5	187
65.5	186
62.5	185
61.5	184
60.0	182
60.0	180
60.0	176
61.5	174
62.0	171
64.5	169
66.0	166
69.0	163
71.5	160
74.5	157
76.5	152
79.0	148
80.5	145
82.5	142
83.5	139
84.5	136
84.5	134
84.0	131
82.5	127
81.0	125
79.0	123
76.5	121
74.0	120
71.0	119
68.0	118
64.5	118
61.5	116
59.0	116
57.0	116
55.0	117
54.0	118
53.0	119
53.5	121
53.5	123
55.5	122
57.0	124
60.0	127
62.5	129
66.0	132
69.0	135
73.5	138
76.5	141
81.0	143
83.5	146
87.0	149
89.0	152
92.0	155
93.0	158
95.0	160
94.5	163
95.0	162
93.5	164
93.0	166
90.5	168
90.0	169
87.0	170
85.5	171
82.0	171
80.5	169
78.0	168
77.0	168
75.0	167
75.0	166
74.0	165
75.5	163
75.5	161
77.5	156
79.0	154
82.5	151
85.0	149
88.5	146
91.5	143
96.0	140
99.0	137
103.0	131
105.5	127
109.0	124
111.0	121
113.0	118
114.0	115
115.0	113
114.5	110
114.0	105
112.5	103
110.5	101
108.0	99
106.0	98
103.0	97
99.5	96
96.0	96
93.0	92
